index	name	basename	parent	suffix	offset	size	first_chunk	last_chunk	chunk_count
0	Resources/unity_default_resources	unity_default_resources	Resources		8486	3538520	1	1	1
1	Managed/mono/4.0/machine.config	machine.config	Managed/mono/4.0	.config	3547006	33648	1	1	1
2	Il2CppData/Metadata/global-metadata.dat	global-metadata.dat	Il2CppData/Metadata	.dat	3580654	6125016	1	3	3
3	boot.config	boot.config	.	.config	9705670	49	3	3	1
4	data.unity3d	data.unity3d	.	.unity3d	9705719	583132840	3	142	140
5	resources.resource	resources.resource	.	.resource	592838559	8451111	142	144	3
6	RuntimeInitializeOnLoads.json	RuntimeInitializeOnLoads.json	.	.json	601289670	1049	144	144	1
7	ScriptingAssemblies.json	ScriptingAssemblies.json	.	.json	601290719	2580	144	144	1
8	sharedassets0.resource	sharedassets0.resource	.	.resource	601293299	71079	144	144	1
9	sharedassets1.resource	sharedassets1.resource	.	.resource	601364378	6121134	144	145	2
10	sharedassets10.resource	sharedassets10.resource	.	.resource	607485512	1281294	145	146	2
11	sharedassets101.resource	sharedassets101.resource	.	.resource	608766806	42520	146	146	1
12	sharedassets102.resource	sharedassets102.resource	.	.resource	608809326	3502344	146	146	1
13	sharedassets105.resource	sharedassets105.resource	.	.resource	612311670	5163844	146	148	3
14	sharedassets108.resource	sharedassets108.resource	.	.resource	617475514	13672	148	148	1
15	sharedassets109.resource	sharedassets109.resource	.	.resource	617489186	30676	148	148	1
16	sharedassets113.resource	sharedassets113.resource	.	.resource	617519862	48311	148	148	1
17	sharedassets115.resource	sharedassets115.resource	.	.resource	617568173	79410	148	148	1
18	sharedassets118.resource	sharedassets118.resource	.	.resource	617647583	408847	148	148	1
19	sharedassets12.resource	sharedassets12.resource	.	.resource	618056430	228969	148	148	1
20	sharedassets124.resource	sharedassets124.resource	.	.resource	618285399	419852	148	148	1
21	sharedassets126.resource	sharedassets126.resource	.	.resource	618705251	615757	148	148	1
22	sharedassets127.resource	sharedassets127.resource	.	.resource	619321008	4276957	148	149	2
23	sharedassets128.resource	sharedassets128.resource	.	.resource	623597965	254942	149	149	1
24	sharedassets13.resource	sharedassets13.resource	.	.resource	623852907	889930	149	149	1
25	sharedassets130.resource	sharedassets130.resource	.	.resource	624742837	19657	149	149	1
26	sharedassets133.resource	sharedassets133.resource	.	.resource	624762494	2899124	149	150	2
27	sharedassets135.resource	sharedassets135.resource	.	.resource	627661618	19813	150	150	1
28	sharedassets137.resource	sharedassets137.resource	.	.resource	627681431	247175	150	150	1
29	sharedassets138.resource	sharedassets138.resource	.	.resource	627928606	55915	150	150	1
30	sharedassets139.resource	sharedassets139.resource	.	.resource	627984521	80035	150	150	1
31	sharedassets14.resource	sharedassets14.resource	.	.resource	628064556	2082679	150	151	2
32	sharedassets140.resource	sharedassets140.resource	.	.resource	630147235	111444	151	151	1
33	sharedassets143.resource	sharedassets143.resource	.	.resource	630258679	51093	151	151	1
34	sharedassets148.resource	sharedassets148.resource	.	.resource	630309772	207604	151	151	1
35	sharedassets149.resource	sharedassets149.resource	.	.resource	630517376	131246	151	151	1
36	sharedassets15.resource	sharedassets15.resource	.	.resource	630648622	7075	151	151	1
37	sharedassets151.resource	sharedassets151.resource	.	.resource	630655697	3509360	151	152	2
38	sharedassets152.resource	sharedassets152.resource	.	.resource	634165057	10411	152	152	1
39	sharedassets156.resource	sharedassets156.resource	.	.resource	634175468	38502	152	152	1
40	sharedassets16.resource	sharedassets16.resource	.	.resource	634213970	1012842	152	152	1
41	sharedassets161.resource	sharedassets161.resource	.	.resource	635226812	2212188	152	152	1
42	sharedassets164.resource	sharedassets164.resource	.	.resource	637439000	58736	152	152	1
43	sharedassets167.resource	sharedassets167.resource	.	.resource	637497736	6415890	152	154	3
44	sharedassets168.resource	sharedassets168.resource	.	.resource	643913626	128516	154	154	1
45	sharedassets169.resource	sharedassets169.resource	.	.resource	644042142	68989	154	154	1
46	sharedassets17.resource	sharedassets17.resource	.	.resource	644111131	49854	154	154	1
47	sharedassets171.resource	sharedassets171.resource	.	.resource	644160985	83270	154	154	1
48	sharedassets173.resource	sharedassets173.resource	.	.resource	644244255	52592	154	154	1
49	sharedassets176.resource	sharedassets176.resource	.	.resource	644296847	87101	154	154	1
50	sharedassets178.resource	sharedassets178.resource	.	.resource	644383948	36696	154	154	1
51	sharedassets179.resource	sharedassets179.resource	.	.resource	644420644	11274	154	154	1
