scene	level	neighbors	direct_chunk_count	neighbor_chunk_count	direct_chunks	neighbor_chunks
Pre_Menu_Intro	0		10	0	3,4,5,6,7,8,9,10,11,144	
Menu_Title	1		5	0	11,12,13,144,145	
Quit_To_Menu	2		1	0	13	
BetaEnd	3		1	0	13	
Knight_Pickup	4		1	0	13	
Opening_Sequence	5		6	0	13,196,197,198,199,200	
Tutorial_01	6	Cliffs_02,Town	5	6	13,14,15,200,201	15,16,76,77,202,203
Town	7	Crossroads_01,Grimm_Divine,Grimm_Main_Tent,Mines_10,Room_Bretta,Room_Ouiji,Room_Town_Stag_Station,Room_mapper,Room_shop,Tutorial_01	4	27	15,16,202,203	13,14,15,16,17,18,19,20,22,23,26,28,29,36,37,80,106,107,148,154,161,168,170,200,201,206,207
Cinematic_Stag_travel	8		2	0	16,203	
Room_Town_Stag_Station	9	Town	5	4	16,17,18,206,207	15,16,202,203
Room_Charm_Shop	10	Crossroads_04	4	3	18,19,145,146	37,38,173
Room_Mender_House	11	Crossroads_04	1	3	19	37,38,173
Room_mapper	12	Town	3	4	19,20,148	15,16,202,203
Room_nailmaster	13	Cliffs_02	3	2	20,21,149	76,77
Room_nailmaster_02	14	Fungus1_15	3	1	21,150,151	62
Room_nailmaster_03	15	Deepnest_East_06	3	2	21,22,151	90,91
Room_nailsmith	16	Ruins1_04	3	3	22,23,152	50,51,207
Room_shop	17	Town	3	4	22,23,154	15,16,202,203
Room_Sly_Storeroom	18		2	0	23,154	
Room_temple	19	Crossroads_02	5	1	23,24,155,156,157	37
Room_ruinhouse	20	Crossroads_04	2	3	24,157	37,38,173
Room_Mask_Maker	21	Deepnest_42	3	1	24,25,157	88
Room_Mansion	22	RestingGrounds_12	2	1	25,158	79
Room_Tram	23		3	0	25,26,158	
Room_Tram_RG	24		1	0	26	
Room_Bretta	25	Town	1	4	26	15,16,202,203
Room_Bretta_Basement	26		2	0	26,27	
Room_Fungus_Shaman	27	Fungus3_44	4	1	27,28,160,161	74
Room_Ouiji	28	Town	3	4	28,29,161	15,16,202,203
Room_Jinn	29		2	0	29,161	
Room_Colosseum_01	30	Deepnest_East_09,Room_Colosseum_02	3	5	29,30,162	30,31,91,162,163
Room_Colosseum_02	31	Room_Colosseum_01,Room_Colosseum_Spectate	4	5	30,31,162,163	29,30,36,162,165
Room_Colosseum_Bronze	32		5	0	31,32,33,163,164	
Room_Colosseum_Silver	33		3	0	33,34,164	
